,Title,Artist,Nationality,Years,Decades,Country
51,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Prayer Hall: plan and elevation sketches)",Louis I. Kahn,(American),1964,1960,America
52,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Perspective drawing",Louis I. Kahn,(American),1967,1960,America
53,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site plan and elevation sketches)",Louis I. Kahn,(American),1964,1960,America
54,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Interior perspective sketch",Louis I. Kahn,(American),1967,1960,America
55,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site-plan and elevation sketches)",Louis I. Kahn,(American),1964,1960,America
56,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Ceiling sketch",Louis I. Kahn,(American),1967,1960,America
57,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Plan sketch)",Louis I. Kahn,(American),1964,1960,America
58,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Plan and perspective sketches",Louis I. Kahn,(American),1967,1960,America
59,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Plan sketch)",Louis I. Kahn,(American),1964,1960,America
60,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Perspective sketch",Louis I. Kahn,(American),1967,1960,America
61,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: plan sketch",Louis I. Kahn,(American),1964,1960,America
62,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Preliminary sketches of the Citadel of the Assembly",Louis I. Kahn,(American),1967,1960,America
63,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: plan and sketches",Louis I. Kahn,(American),1964,1960,America
64,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Site-plan sketch",Louis I. Kahn,(American),1967,1960,America
65,"Fine Arts Center, School, and Performing Arts Theater, Fort Wayne, Indiana, Site-plan sketch",Louis I. Kahn,(American),1964,1960,America
66,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Site-plan sketch",Louis I. Kahn,(American),1967,1960,America
67,"Fine Arts Center, School, and Performing Arts Theater, Fort Wayne, Indiana, Site-plan and elevation sketches",Louis I. Kahn,(American),1964,1960,America
68,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: plan sketch",Louis I. Kahn,(American),1967,1960,America
69,"Fine Arts Center, School, and Performing Arts Theater, Fort Wayne, Indiana, Plan sketches",Louis I. Kahn,(American),1964,1960,America
70,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: plan and elevation sketches",Louis I. Kahn,(American),1967,1960,America
71,"Mikveh Israel Synagogue project, Philadelphia, Pennsylvania, (Interior perspective)",Louis I. Kahn,(American),1964,1960,America
72,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: plan sketch",Louis I. Kahn,(American),1967,1960,America
73,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Interior perspective",Louis I. Kahn,(American),1964,1960,America
74,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: section sketches",Louis I. Kahn,(American),1967,1960,America
75,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),1964,1960,America
76,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: perspective sketch of light elements",Louis I. Kahn,(American),1967,1960,America
77,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Perspective of entrance",Louis I. Kahn,(American),1964,1960,America
78,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: elevation sketch of light elements",Louis I. Kahn,(American),1967,1960,America
79,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Elevation with school building at left",Louis I. Kahn,(American),1964,1960,America
80,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: section sketch of roof structure and light elements",Louis I. Kahn,(American),1967,1960,America
81,"First Unitarian Church and School, Rochester, New York, Plan, elevation, and interior perspective sketches",Louis I. Kahn,(American),1964,1960,America
82,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: elevation sketch of light element",Louis I. Kahn,(American),1967,1960,America
83,"First Unitarian Church and School, Rochester, New York, Plan, elevation, and perspective sketches",Louis I. Kahn,(American),1964,1960,America
84,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: preliminary version: elevation sketches",Louis I. Kahn,(American),1967,1960,America
85,"First Unitarian Church and School, Rochester, New York, Final version: elevation",Louis I. Kahn,(American),1964,1960,America
86,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketches",Louis I. Kahn,(American),1967,1960,America
87,"First Unitarian Church and School, Rochester, New York, Final version: elevation",Louis I. Kahn,(American),1964,1960,America
88,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
89,"First Unitarian Church and School, Rochester, New York, Final version: elevation",Louis I. Kahn,(American),1964,1960,America
90,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
91,"First Unitarian Church and School, Rochester, New York, Final version: elevation",Louis I. Kahn,(American),1964,1960,America
92,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
93,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective",Louis I. Kahn,(American),1964,1960,America
94,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
95,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective",Louis I. Kahn,(American),1964,1960,America
96,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
97,"Civic Center, project, Philadelphia, Pennsylvania, Aerial perspective",Louis I. Kahn,(American),1964,1960,America
98,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
99,"Civic Center Studies, project, Philadelphia, Pennsylvania, Perspective of promenade",Louis I. Kahn,(American),1964,1960,America
100,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Plan sketch of Prayer Hall",Louis I. Kahn,(American),1967,1960,America
101,"Travel Sketch for Sainte Cécile Cathedral, Albi, France, Exterior perspective",Louis I. Kahn,(American),1964,1960,America
102,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
103,"General Motors Exhibit, 1964 World's Fair, project, New York (Queens), New York, Elevation and plans",Louis I. Kahn,(American),1964,1960,America
104,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",Louis I. Kahn,(American),1967,1960,America
105,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Two elevations of meeting house)",Louis I. Kahn,(American),1964,1960,America
