,Title,Artist,Nationality,Years,Decades,Country
8087,Headpiece (page 7) from LE POÈTE ASSASSINÉ,Raoul Dufy,(French),1964,1960,France
8088,Plate (facing page 10) from LE POÈTE ASSASSINÉ,Raoul Dufy,(French),1964,1960,France
8089,Headpiece (page 13) from LE POÈTE ASSASSINÉ,Raoul Dufy,(French),1964,1960,France
8090,Plate (facing page 16) from LE POÈTE ASSASSINÉ,Raoul Dufy,(French),1964,1960,France
8091,Headpiece (page 19) from LE POÈTE ASSASSINÉ,Raoul Dufy,(French),1964,1960,France
8092,Plate (facing page 22) from LE POÈTE ASSASSINÉ,Raoul Dufy,(French),1964,1960,France
8093,La Belle Enfant: L'Amour à quarante ans,Raoul Dufy,(French),1964,1960,France
8094,Wrapper front from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8095,Half title page from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8096,Title page from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8097,Vignette (facing page 1) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8098,Chapter title (page 1) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8099,Plate (page 2) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8100,In-text plate and initial A (page 3) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8101,Plate (facing page 12) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8102,Tailpiece (page 15) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8103,Plate (page 16) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8104,Chapter title (page 17) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8105,Plate (page 18) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8106,In-text plate and initial S (page 19) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8107,Plate (facing page 28) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8108,Plate (facing page 36) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8109,Tailpiece (page 40) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8110,Chapter title (page 41) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8111,Plate (page 42) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8112,In-text plate and initial D (page 43) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8113,Plate (facing page 52) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8114,Tailpiece (page 58) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8115,Chapter title (page 59) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8116,Plate (page 60) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8117,In-text plate and initial A (page 61) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8118,Plate (facing page 68) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8119,Tailpiece (page 75) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8120,Plate (page 76) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8121,Chapter title (page 77) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8122,Plate (page 78) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8123,In-text plate and initial S (page 79) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8124,Plate (facing page 84) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8125,Tailpiece (page 98) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8126,Chapter title (page 99) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8127,Plate (page 100) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8128,In-text plate and initial T (page 101) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8129,Plate (facing page 108) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8130,Tailpiece (page 122) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8131,Chapter title (page 123) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8132,Plate (page 124) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8133,In-text plate and initial G (page 125) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8134,Plate (facing page 132) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8135,Tailpiece (page 147) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8136,Plate (page 148) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8137,Chapter title (page 149) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8138,Plate (page 150) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8139,In-text plate and initial D (page 151) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8140,Plate (facing page 156) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8141,Tailpiece (page 161) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8142,Plate (page 162) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8143,Chapter title (page 163) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8144,Plate (page 164) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8145,In-text plate and initial S (page 165) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8146,Plate (facing page 168) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8147,Tailpiece (page 171) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8148,Plate (page 172) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8149,Chapter title (page 173) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8150,Plate (page 174) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8151,In-text plate and initial L (page 175) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8152,Plate (facing page 180) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8153,Plate (facing page 184) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8154,Tailpiece (page 186) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8155,Chapter title (page 187) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8156,Plate (page 188) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8157,In-text plate and initial A (page 189) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8158,Plate (facing page 196) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8159,Tailpiece (page 201) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8160,Plate (page 202) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8161,Chapter title (page 203) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8162,Plate (page 204) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8163,In-text plate and initial M (page 205) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8164,Plate (facing page 212) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8165,Tailpiece (page 218) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8166,Chapter title (page 219) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8167,Plate (page 220) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8168,In-text plate and initial I (page 221) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8169,Plate (facing page 228) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8170,Tailpiece (page 233) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8171,Plate (page 234) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8172,Chapter title (page 235) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8173,Plate (page 236) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8174,In-text plate and initial L (page 237) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8175,Plate (facing page 240) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8176,Tailpiece (page 242) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8177,Chapter title (page 243) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8178,Plate (page 244) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8179,In-text plate and initial D (page 245) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8180,Tailpiece (page 250) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8181,Chapter title (page 251) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8182,Plate (page 252) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8183,Illustrated table of plates +hors texte- (page 253) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8184,Plate (page 254) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8185,Headpiece (page 255) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8186,Tailpiece (page 256) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8187,Headpiece and pictorial initial A (page 257) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8188,"Duplicate of wrapper front (supplementary suite, plate 1) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8189,"Duplicate of half title plate (supplementary suite, plate 2) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8190,Duplicate of title page plate (supplementary suite plate 3) from LA BELLE ENFANT,Raoul Dufy,(French),1964,1960,France
8191,"Duplicate of vignette facing page 1 (supplementary suite, plate 4) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8192,"Duplicate of chapter title from page 1 (supplementary suite, plate 5) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8193,"Duplicate of plate from page 2 (supplementary suite, plate 6) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8194,"Duplicate of in-text plate and initial A from page 3 (supplementary suite, plate 7) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8195,"Duplicate of plate facing page 12 (supplementary suite, plate 8) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8196,"Duplicate of tailpiece from page 15 (supplementary suite, plate 9) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8197,"Duplicate of plate from page 16 (supplementary suite, plate 10) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8198,"Duplicate of chapter title from page 17 (supplementary suite, plate 11) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8199,"Duplicate of plate from page 18 (supplementary suite, plate 12) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8200,"Duplicate of in-text plate and initial S from page 19 (supplementary suite, plate 13) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8201,"Duplicate of plate facing page 28 (supplementary suite, plate 14) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8202,"Duplicate of plate facing page 36 (supplementary suite, plate 15) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8203,"Duplicate of tailpiece from page 40 (supplementary suite, plate 16) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8204,"Duplicate of chapter title from page 41 (supplementary suite, plate 17) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8205,"Duplicate of plate from page 42 (supplementary suite, plate 18) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8206,"Duplicate of in-text plate and initial D from page 43 (supplementary suite, plate 19) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8207,"Duplicate of plate facing page 52 (supplementary suite, plate 20) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8208,"Duplicate of tailpiece from page 58 (supplementary suite, plate 21) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8209,"Duplicate of chapter title from page 59 (supplementary suite, plate 22) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8210,"Duplicate of plate from page 60 (supplementary suite, plate 23) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8211,"Duplicate of in-text plate and initial A from page 61 (supplementary suite, plate 24) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8212,"Duplicate of plate facing page 68 (supplementary suite, plate 25) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8213,"Duplicate of tailpiece from page 75 (supplementary suite, plate 26) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8214,"Duplicate of plate from page 76 (supplementary suite, plate 27) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8215,"Duplicate of chapter title from page 77 (supplementary suite, plate 28) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8216,"Duplicate of plate from page 78 (supplementary suite, plate 29) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8217,"Duplicate of in-text plate and initial S from page 79 (supplementary suite, plate 30) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8218,"Duplicate of plate facing page 84 (supplementary suite, plate 31) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8219,"Duplicate of tailpiece from page 98 (supplementary suite, plate 32) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8220,"Duplicate of chapter title from page 99 (supplementary suite, plate 33) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8221,"Duplicate of plate from page 100 (supplementary suite, plate 34) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8222,"Duplicate of in-text plate and initial T from page 101 (supplementary suite, plate 35) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8223,"Duplicate of plate facing page 108 (supplementary suite, plate 36) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8224,"Duplicate of tailpiece from page 122 (supplementary suite, plate 37) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8225,"Duplicate of chapter title from page 123 (supplementary suite, plate 38) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8226,"Duplicate of plate from page 124 (supplementary suite, plate 39) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8227,"Duplicate of in-text plate and initial G from page 125 (supplementary suite, plate 40) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8228,"Duplicate of plate facing page 132 (supplementary suite, plate 41) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8229,"Duplicate of tailpiece from page 147 (supplementary suite, plate 42) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8230,"Duplicate of plate from page 148 (supplementary suite, plate 43) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8231,"Duplicate of chapter title from page 149 (supplementary suite, plate 44) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8232,"Duplicate of plate from page 150 (supplementary suite, plate 45) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8233,"Duplicate of in-text plate and initial D from page 151 (supplementary suite, plate 46) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8234,"Duplicate of plate facing page 156 (supplementary suite, plate 47) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8235,"Duplicate of tailpiece from page 161 (supplementary suite, plate 48) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8236,"Duplicate of plate from page 162 (supplementary suite, plate 49) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8237,"Duplicate of chapter title from page 163 (supplementary suite, plate 50) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8238,"Duplicate of plate from page 164 (supplementary suite, plate 51) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8239,"Duplicate of in-text plate and initial S from page 165 (supplementary suite, plate 52) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8240,"Duplicate of plate facing page 168 (supplementary suite, plate 53) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8241,"Duplicate of tailpiece from page 171 (supplementary suite, plate 54) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8242,"Duplicate of plate from page 172 (supplementary suite, plate 55) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8243,"Duplicate of chapter title from page 173 (supplementary suite, plate 56) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8244,"Duplicate of plate from page 174 (supplementary suite, plate 57) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8245,"Duplicate of in-text plate and initial L from page 175 (supplementary suite, plate 58) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8246,"Duplicate of plate facing page 180 (supplementary suite, plate 59) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8247,"Duplicate of plate facing page 184 (supplementary suite, plate 60) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8248,"Duplicate of tailpiece from page 186 (supplementary suite, plate 61) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8249,"Duplicate of chapter title from page 187 (supplementary suite, plate 62) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8250,"Duplicate of plate from page 188 (supplementary suite, plate 63) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8251,"Duplicate of in-text plate and initial A from page 189 (supplementary suite, plate 64) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8252,"Duplicate of plate facing page 196 (supplementary suite, plate 65) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8253,"Duplicate of tailpiece from page 201 (supplementary suite, plate 66) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8254,"Duplicate of plate from page 202 (supplementary suite, plate 67) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8255,"Duplicate of chapter title from page 203 (supplementary suite, plate 68) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8256,"Duplicate of plate from page 204 (supplementary suite, plate 69) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8257,"Duplicate of in-text plate and initial M from page 205 (supplementary suite, plate 70) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8258,"Duplicate of plate facing page 212 (supplementary suite, plate 71) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8259,"Duplicate of tailpiece from page 218 (supplementary suite, plate 72) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8260,"Duplicate of chapter title from page 219 (supplementary suite, plate 73) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8261,"Duplicate of plate from page 220 (supplementary suite, plate 74) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8262,"Duplicate of in-text plate and initial I from page 221 (supplementary suite, plate 75) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8263,"Duplicate of plate facing page 228 (supplementary suite, plate 76) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8264,"Duplicate of tailpiece from page 233 (supplementary suite, plate 77) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8265,"Duplicate of plate from page 234 (supplementary suite, plate 78) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8266,"Duplicate of chapter title from page 235 (supplementary suite, plate 79) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8267,"Duplicate of plate from page 236 (supplementary suite, plate 80) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8268,"Duplicate of in-text plate and initial L from page 237 (supplementary suite, plate 81) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8269,"Duplicate of plate facing page 240 (supplementary suite, plate 82) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8270,"Duplicate of tailpiece from page 242 (supplementary suite, plate 83) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8271,"Duplicate of chapter title from page 243 (supplementary suite, plate 84) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8272,"Duplicate of plate from page 244 (supplementary suite, plate 85) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8273,"Duplicate of in-text plate and initial D from page 245 (supplementary suite, plate 86) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8274,"Duplicate of tailpiece from page 250 (supplementary suite, plate 87) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8275,"Duplicate of chapter titler from page 251 (supplementary suite, plate 88) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8276,"Duplicate of plate from page 252 (supplementary suite, plate 89) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8277,"Duplicate of illustrated table of plates +hors- +texte- (supplementary suite, plate 90) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8278,"Duplicate of plate from page 254 (supplementary suite, plate 91) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8279,"Duplicate of headpiece from page 255 (supplementary suite, plate 92) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8280,"Duplicate of tailpiece from page 256 (supplementary suite, plate 93) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8281,"Duplicate of headpiece and pictorial initial A from page 257 (supplementary suite, plate 94) from LA BELLE ENFANT",Raoul Dufy,(French),1964,1960,France
8282,CATALOGUE COMPLET DES ÉDITIONS AMBROISE VOLLARD,Raoul Dufy,(French),1964,1960,France
8283,Publisher's device (title page) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8284,AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8285,In-text plate (page 18) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8286,In-text plate (page 193) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8287,Tailpiece (page 195) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8288,Headpiece and pictorial initial M (page 196) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8289,In-text plate (page 199) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8290,Tailpiece (page 202) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8291,Headpiece (page 205) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8292,Tailpiece (page 208) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8293,In-text ornament (page 19) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8294,In-text ornament and tailpiece (page 20) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8295,Headpiece and pictorial initial C (page 21) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8296,In-text plate (page 23) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8297,Tailpiece (page 25) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8298,Headpiece and pictorial initial L (page 26) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8299,In-text plate (page 29) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8300,Tailpiece (page 30) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8301,Headpiece and pictorial initial A (page 31) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8302,Headpiece and pictorial initial M (page 5) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8303,In-text plate (page 33) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8304,Headpiece and pictorial initial U (page 35) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8305,In-text plate (page 37) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8306,Tailpiece (page 39) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8307,Headpiece and pictorial initial E (page 40) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8308,In-text plate (page 43) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8309,Tailpiece (page 45) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8310,Headpiece and pictorial initial C (page 46) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8311,In-text plate (page 49) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8312,Headpiece and pictorial initial P (page 51) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8313,In-text plate (page 7) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8314,Tailpiece (page 53) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8315,Headpiece and pictorial initial A (page 54) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8316,In-text ornament (page 56) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8317,In-text plate (page 57) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8318,Tailpiece (page 58) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8319,Headpiece and pictorial initial A (page 59) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8320,In-text ornament and tailpiece (page 61) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8321,Headpiece and pictorial initial E (page 62) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8322,In-text plate (page 65) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8323,Tailpiece (page 67) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8324,Tailpiece (page 9) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8325,Headpiece and pictorial initial L (page 68) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
8326,In-text plate (page 71) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),1964,1960,France
